1,エコマーク,エコマークは、様々な商品（製品およびサービス）の中で､「生産」から「廃棄」にわたるライフサイクル全体を通して環境への負荷が少なく、環境保全に役立つと認められた商品につけられる環境ラベルです。このマークにより、消費者のみなさんが環境を意識した商品選択を行ったり、関係企業の環境改善努力を進めていくことにより、持続可能な社会の形成をはかっていくことを目的としています。,mark1,12/13
2,MSC認証（海のエコラベル）,MSC「海のエコラベル」は、水産資源と環境に配慮し適切に管理された、持続可能な漁業で獲られた天然の水産物の証です。,mark2,2/8/12/14
3,ASC認証,ASC（Aquaculture Stewardship Council：水産養殖管理協議会）認証とは、環境と社会への影響を最小限にした責任ある養殖の水産物である証のこと。,mark3,2/8/12/14
4,FSC認証,FSC認証は環境、社会、経済の便益に適い、きちんと管理された森林から生産された林産物や、その他のリスクの低い林産物を使用した製品を目に見える形で消費者に届ける仕組みです。,mark4,3/7/8/12/13/15
5,フェアトレード,フェアトレードの明確な基準を設定し、それを守った製品にラベルを貼付して分かりやすく伝え、フェアトレードを広めていこう、として誕生したのが、フェアトレードのラベルのしくみです。国際フェアトレード認証ラベルは、その原料が生産されてから、輸出入、加工、製造工程を経て「フェアトレード認証製品」として完成品となるまでの各工程で、国際フェアトレードラベル機構（Fairtrade International）が定めた国際フェアトレード基準が守られている事を証明しています。,mark5,1/2/5/8/10/11/12/13/17
6,レインフォレスト・アライアンス認証マーク,レインフォレスト・アライアンス認証マークは、その認証原料が、持続可能性の3つの柱（社会・経済・環境）の強化につながる手法を用いて生産されたものであることを意味します。,mark6,1/5/10/13
7,レッドカップマーク,毎日のお買物で学校給食を支援できる、レッドカップキャンペーン。国連WFPが給食を入れる容器として使っている赤いカップを目印に、 レッドカップキャンペーンに賛同する企業からキャンペーンマークのついた商品が発売されています。対象商品を購入すると、その売り上げの一部が企業から寄付されます。,mark7,1/2/4/5/8/10/17
8,有機JASマーク,有機JASマークは、太陽と雲と植物をイメージしたマークです。農薬や化学肥料などの化学物質に頼らないことを基本として自然界の力で生産された食品を表しており、農産物、加工食品、飼料、畜産物及び藻類に付けられています。,mark8,2/3/6/12/13/15
9,特定保健用食品（トクホ）,特定保健用食品は、からだの生理学的機能などに影響を与える保健効能成分(関与成分)を含み、その摂取により、特定の保健の目的が期待できる旨の表示(保健の用途の表示)をする食品です。特定保健用食品として販売するには、食品ごとに食品の有効性や安全性について国の審査を受け、許可を得なければなりません。(健康増進法第43条第1項),mark9,3
10,インクカートリッジ里帰りプロジェクト,使用済みインクカートリッジの回収から再資源化までのリサイクル活動を推進するため、プリンターメーカーが共同で運営するプロジェクトです。,mark10,12/13
11,再生紙使用マーク,古紙パルプ配合率を示す自主的なマークです。古紙パルプ配合率100％再生紙を使用しています。ごみ減量化推進国民会議（現3R活動推進フォーラム）で定められたものです。,mark11,12/13
12,GOTS,オーガニックの繊維製品の基準と認証マーク。有機栽培（飼育）の原料を使用し環境と社会に配慮して加工・流通されたことを示すマーク。GOTSとは、テキスタイル(繊維製品)を加工するためのオーガニック基準。糸、生地、衣類など広い意味での繊維製品が対象。,mark12,12/13
13,RSPO認証,世界自然保護基金（WWF）を含む関係団体が中心となり、2004年に設立された国際NPOです。世界的に信頼される認証基準の策定と、ステークホルダー（利害関係者）の参加を通じ、持続可能なパーム油の生産と利用を促進することを目的としています。,mark13,12/13
14,バイオマスマーク,バイオマスマークは生物由来の資源（バイオマス）を活用し、品質及び安全性が関連する法規、基準、規格等に適合している環境商品の目印です。,mark14,12/13
15,グリーンマーク,原料に古紙を規定の割合以上利用していることを示すグリーンマークを古紙利用製品に表示することにより、古紙の利用を拡大し、紙のリサイクルの促進を図ることを目的としています。,mark15,9/11/12/13
16,国際エネルギースタープログラム,"国際エネルギースタープログラムは、オフィス機器の国際的省エネルギー制度（ENERGY STAR）です。日本における国際エネルギースタープログラムは、日米両政府合意のもと1995年10月から実施されています。",mark16,7/8/9/12/13
17,味なエコマーク,「味の素らしい・気のきいた（＝味な）」「環境にやさしい（＝エコ）」製品や情報のことで、ロゴマークは「地球の緑と食事の喜びを模したもので、食を通じたよりよい地球環境」を表現しています。,mark17,12/13
18,植物油インキマーク,植物油を含有した印刷インキで、マーク使用基準を満たしたものに貼付できる。大豆油に限定せず、全ての植物油を対象。再生可能資源で、環境負荷を大幅に低減。また、該当インキで印刷した印刷物にも添付可能。,mark18,12/13
19,PEFC森林認証プログラム,持続可能な森林管理のために策定された国際基準（政府間プロセス基準）に則って林業が実施せれていることを第三者認証する「森林管理認証」、および、紙製品や木材製品など林産品に関して、森林管理認証を受けた森林から生産された木材やリサイクル材を原材料として一定の割合以上使用していることを第三者認証するCoC認証があります。,mark19,13/15
20,エコレールマーク,一般消費者の目に触れにくい商品の流通過程において、環境に優しい貨物鉄道を利用して運ばれている商品や積極的に取組をしている企業を知っていただくマーク。,mark20,7/9/11/12/13
21,間伐材マーク,間伐材マーク（かんばつざいマーク）とは、間伐や間伐材利用の重要性等をPRし、間伐材を用いた製品を表示する間伐材マークの適切な使用を通じて、間伐推進の普及啓発及び間伐材の利用促進と消費者の製品選択に資するものです。,mark21,3/5/6/7/8/11/12/13/14/15/17
22,グリーンプリンティング認定制度,印刷業界の環境自主基準に基づき、事業者（工場等）の環境負荷低減への取組および環境に配慮した印刷製品を認定するという総合認定制度。一般社団法人日本印刷産業連合会が運営する制度。印刷業界の環境負荷の低減および市場へ提供する印刷製品の環境負荷低減を推進しています。,mark22,3/6/7/8/11/13/14/15
23,SQF認証,SQFとは、”Safe Quality Food”の略で、アメリカFMI（The Food Industry Association）が管理するHACCP手法とGMPをベースに構築された食品安全マネジメント規格であり、GFSI（Global Food Safety Initiative）から当初より承認されている規格のひとつです。,mark23,9/12
24,カーボンフットプリント,CFP（カーボンフットプリント）とは、Carbon Footprint of Productsの略称で、商品やサービスの原材料調達から廃棄・リサイクルに至るまでのライフサイクル全体を通して排出される温室効果ガスの排出量をCO2に換算して、商品やサービスに分かりやすく表示する仕組みです。ＬＣＡ（ライフサイクルアセスメント）手法を活用し、環境負荷を定量的に算定します。,mark24,3/7/9/11/12/13
25,GGNラベル,GGNラベルは、その生鮮食料品が、GLOBALG.A.P.の基準に従って責任ある方法で生産されたものであることを表したものであり、商品を購入する際の判断材料になります。このロゴマークを貼られた商品であれば（例えばあなたが今手に取っているトマトにGGNラベルが貼ってあれば）、あなたは、それがどこで育てられたものなのかなどを確認することができます。パッケージに表示された13桁の番号で検索すれば、店頭で直接、商品の産地やその生産者の農場の様子を知ることができるのです。,mark25,9/12
26,ボタニカルインキ,ボタニカルインキとは、植物由来の資源をインキ固形分原料中の10％以上を使用した、サカタインクス社の登録商標です。,mark26,12/13
27,PCリサイクルマーク,「PCリサイクルマーク」は、平成15年(2003年)10月以降に販売された家庭向けパソコンに貼付されているものです。このマークの付いたパソコンは、廃棄する際に新たな料金をご負担いただくことなく、廃棄いただけます。PCリサイクルマークのついてないパソコン(平成15年9月までに購入された製品)は、回収再資源化料金をお客様にご負担いただきます。,mark27,12/13
28,ろすのん,食品ロス削減に取り組んでいることの意思表示です。,mark28,1/2/6/10/12/15
29,スマイルエコ,お菓子の容器や包装を通じて環境配慮への取り組みを、消費者にわかりやすく伝えるためにつくった「スマイルエコマーク」。そのデザインは、地球環境への配慮を葉っぱのモチーフで表現。商品で人々を笑顔にしたいというロッテの思いを込めて、「スマイルエコ」のコピーとマークが生まれました。,mark29,12/13
30,Plastics Smart,「プラスチック・スマート」とは、2018年に環境省が立ち上げた海洋プラスチックごみの削減に向けたキャンペーンで、プラスチック問題に対して「環境保護」と「サステナビリティ」を目指す取り組みのことを指します。,mark30,7/9/11/12/13
31,A,a,mark1,1
32,B,b,mark2,2
33,C,c,mark3,3
34,D,d,mark4,4
35,E,e,mark5,5